bolsas,modo,threads,rodada,tempo_processamento_ms,tempo_resposta_ms
100000,SEQUENCIAL,1,1,3631.75,3639.65
100000,PLATAFORMA,2,1,1263.64,1273.12
100000,PLATAFORMA,4,1,747.34,753.36
100000,PLATAFORMA,8,1,865.12,871.3
100000,VIRTUAL,2,1,1138.95,1144.85
100000,VIRTUAL,4,1,814.08,828.75
100000,VIRTUAL,8,1,733.85,741.65
100000,SEQUENCIAL,1,2,2758.53,2774.02
100000,PLATAFORMA,2,2,1171.24,1177.83
100000,PLATAFORMA,4,2,704.05,709.25
100000,PLATAFORMA,8,2,721.69,746.32
100000,VIRTUAL,2,2,1216.53,1222.34
100000,VIRTUAL,4,2,982.12,1008.86
100000,VIRTUAL,8,2,830.97,860.85
100000,SEQUENCIAL,1,3,3535.61,3541.63
100000,PLATAFORMA,2,3,1225.71,1231.46
100000,PLATAFORMA,4,3,813.51,822.45
100000,PLATAFORMA,8,3,717.72,733.92
100000,VIRTUAL,2,3,1216.37,1247.44
100000,VIRTUAL,4,3,655.63,662.39
100000,VIRTUAL,8,3,644.18,665.89
100000,SEQUENCIAL,1,4,3104.07,3110.47
100000,PLATAFORMA,2,4,1209.01,1218.38
100000,PLATAFORMA,4,4,619.8,625.4
100000,PLATAFORMA,8,4,625.86,631.19
100000,VIRTUAL,2,4,1133.49,1146.03
100000,VIRTUAL,4,4,644.76,650.86
100000,VIRTUAL,8,4,616.83,622.4
100000,SEQUENCIAL,1,5,3959.78,3966.65
100000,PLATAFORMA,2,5,1264.13,1270.2
100000,PLATAFORMA,4,5,663.96,670.67
100000,PLATAFORMA,8,5,691.32,697.07
100000,VIRTUAL,2,5,1169.9,1175.44
100000,VIRTUAL,4,5,863.23,871.04
100000,VIRTUAL,8,5,750.12,756.13
1000000,SEQUENCIAL,1,1,33588.52,33596.12
1000000,PLATAFORMA,2,1,12191.49,12200.36
1000000,PLATAFORMA,4,1,7671.78,7678.81
1000000,PLATAFORMA,8,1,7546.21,7551.92
1000000,VIRTUAL,2,1,12926.18,12934.09
1000000,VIRTUAL,4,1,6529.38,6535.57
1000000,VIRTUAL,8,1,7039.97,7045.98
1000000,SEQUENCIAL,1,2,32406.57,32417.7
1000000,PLATAFORMA,2,2,12444.65,12453.54
1000000,PLATAFORMA,4,2,7008.47,7014.74
1000000,PLATAFORMA,8,2,6909.95,6915.99
1000000,VIRTUAL,2,2,12255.72,12275.23
1000000,VIRTUAL,4,2,7403.96,7430.17
1000000,VIRTUAL,8,2,8588.73,8596.65
1000000,SEQUENCIAL,1,3,32907.95,32914.66
1000000,PLATAFORMA,2,3,12165.48,12170.98
1000000,PLATAFORMA,4,3,6347.06,6365.21
1000000,PLATAFORMA,8,3,6480.05,6493.38
1000000,VIRTUAL,2,3,12011.72,12037.54
1000000,VIRTUAL,4,3,7317.27,7322.87
1000000,VIRTUAL,8,3,6580.72,6599.5
1000000,SEQUENCIAL,1,4,34230.6,34268.1
1000000,PLATAFORMA,2,4,11328.07,11339.65
1000000,PLATAFORMA,4,4,6649.39,6665.86
1000000,PLATAFORMA,8,4,6610.16,6631.12
1000000,VIRTUAL,2,4,12443.61,12459.14
1000000,VIRTUAL,4,4,6297.92,6303.16
1000000,VIRTUAL,8,4,6530.6,6536.57
1000000,SEQUENCIAL,1,5,35489.97,35495.86
1000000,PLATAFORMA,2,5,12514.38,12531.25
1000000,PLATAFORMA,4,5,6517.36,6523.34
1000000,PLATAFORMA,8,5,6754.64,6760.55
1000000,VIRTUAL,2,5,11875.8,11895.96
1000000,VIRTUAL,4,5,6429.11,6435.91
1000000,VIRTUAL,8,5,6488.82,6495.11
