bolsas,modo,threads,rodada,tempo_processamento_ms,tempo_resposta_ms
100000,SEQUENCIAL,1,1,2526.29,2531.32
100000,PLATAFORMA,2,1,1301.03,1305.43
100000,PLATAFORMA,4,1,651.32,665.63
100000,PLATAFORMA,8,1,481.88,501.46
100000,VIRTUAL,2,1,1337.0,1341.81
100000,VIRTUAL,4,1,755.11,770.34
100000,VIRTUAL,8,1,331.87,356.0
100000,SEQUENCIAL,1,2,2322.91,2327.0
100000,PLATAFORMA,2,2,1157.53,1184.07
100000,PLATAFORMA,4,2,616.78,646.14
100000,PLATAFORMA,8,2,395.27,417.69
100000,VIRTUAL,2,2,1562.42,1567.33
100000,VIRTUAL,4,2,765.05,783.47
100000,VIRTUAL,8,2,330.82,335.37
100000,SEQUENCIAL,1,3,2367.28,2371.96
100000,PLATAFORMA,2,3,1242.8,1269.8
100000,PLATAFORMA,4,3,857.36,874.12
100000,PLATAFORMA,8,3,433.71,439.69
100000,VIRTUAL,2,3,1251.33,1256.22
100000,VIRTUAL,4,3,609.91,628.74
100000,VIRTUAL,8,3,350.77,376.68
100000,SEQUENCIAL,1,4,2171.15,2175.99
100000,PLATAFORMA,2,4,1194.81,1219.83
100000,PLATAFORMA,4,4,616.98,638.03
100000,PLATAFORMA,8,4,293.6,301.03
100000,VIRTUAL,2,4,1270.92,1274.65
100000,VIRTUAL,4,4,633.25,658.05
100000,VIRTUAL,8,4,302.39,307.89
100000,SEQUENCIAL,1,5,2587.51,2610.48
100000,PLATAFORMA,2,5,1519.3,1549.68
100000,PLATAFORMA,4,5,676.38,693.76
100000,PLATAFORMA,8,5,370.43,375.93
100000,VIRTUAL,2,5,1393.1,1413.1
100000,VIRTUAL,4,5,633.51,661.82
100000,VIRTUAL,8,5,348.55,352.52
1000000,SEQUENCIAL,1,1,23600.35,23605.82
1000000,PLATAFORMA,2,1,11384.83,11410.06
1000000,PLATAFORMA,4,1,7200.22,7215.17
1000000,PLATAFORMA,8,1,3871.28,3890.62
1000000,VIRTUAL,2,1,13304.8,13324.0
1000000,VIRTUAL,4,1,8376.41,8395.39
1000000,VIRTUAL,8,1,4499.03,4517.19
1000000,SEQUENCIAL,1,2,24345.61,24349.93
1000000,PLATAFORMA,2,2,14926.65,14931.75
1000000,PLATAFORMA,4,2,9657.53,9662.04
1000000,PLATAFORMA,8,2,4800.4,4821.95
1000000,VIRTUAL,2,2,15180.85,15187.34
1000000,VIRTUAL,4,2,7400.76,7409.19
1000000,VIRTUAL,8,2,4515.22,4539.71
1000000,SEQUENCIAL,1,3,31708.82,31729.04
1000000,PLATAFORMA,2,3,12632.33,12653.48
1000000,PLATAFORMA,4,3,7816.5,7831.17
1000000,PLATAFORMA,8,3,3851.48,3873.89
1000000,VIRTUAL,2,3,15343.15,15369.95
1000000,VIRTUAL,4,3,9867.65,9873.71
1000000,VIRTUAL,8,3,4623.79,4630.0
1000000,SEQUENCIAL,1,4,27787.16,27800.87
1000000,PLATAFORMA,2,4,10511.66,10515.54
1000000,PLATAFORMA,4,4,6707.79,6712.03
1000000,PLATAFORMA,8,4,3282.91,3304.82
1000000,VIRTUAL,2,4,10233.95,10237.76
1000000,VIRTUAL,4,4,6467.3,6485.43
1000000,VIRTUAL,8,4,3074.24,3078.38
1000000,SEQUENCIAL,1,5,23639.21,23657.83
1000000,PLATAFORMA,2,5,10215.4,10233.02
1000000,PLATAFORMA,4,5,6883.38,6898.86
1000000,PLATAFORMA,8,5,3439.33,3469.46
1000000,VIRTUAL,2,5,10070.01,10090.7
1000000,VIRTUAL,4,5,6582.99,6587.45
1000000,VIRTUAL,8,5,3806.04,3829.02
